Điểm,Tần suất
0.6,1
0.75,1
0.8,1
1.0,8
1.2,9
1.25,5
1.4,14
1.5,11
1.6,31
1.75,28
1.8,60
2.0,166
2.2,170
2.25,89
2.4,234
2.5,122
2.6,277
2.75,202
2.8,345
3.0,717
3.2,474
3.25,395
3.4,514
3.5,557
3.6,508
3.75,686
3.8,517
4.0,1475
4.2,543
4.25,990
4.4,585
4.5,1248
4.6,587
4.75,1485
4.8,552
5.0,2449
5.2,602
5.25,1994
5.4,619
5.5,2467
5.6,610
5.75,2731
5.8,618
6.0,3602
6.2,621
6.25,3259
6.4,633
6.5,3575
6.6,681
6.75,3716
6.8,640
7.0,4473
7.2,742
7.25,3862
7.4,729
7.5,3553
7.6,780
7.75,3364
7.8,864
8.0,3705
8.2,965
8.25,2512
8.4,950
8.5,2100
8.6,1054
8.75,1565
8.8,1008
9.0,2139
9.2,859
9.25,808
9.4,580
9.5,453
9.6,392
9.75,292
9.8,171
10.0,136
